1,1,5.7958,,QUEUE10,,,,,,,,,
2,1,41.60492,,P\Q,Q=1,Q=2,Q=4,Q=8,Q=16,Q=32,Q=64,Q=128,Q=256
4,1,36.193245,,P=1,5.7958,3.03288,1.8554,1.53726,1.43384,1.42598,1.37602,1.40502,1.39076
8,1,30.530628,,P=2,41.60492,9.42495,2.16174,1.52273,1.5326,1.47396,1.50762,1.52984,1.51872
16,1,28.879748,,P=4,36.193245,21.04122,10.69498,1.93716,1.834145,1.78179,1.701505,1.690515,1.71351
32,1,16.725566,,P=8,30.530628,31.11056,32.876425,8.968023,3.323615,1.934013,1.98762,1.99421,2.060777
64,1,16.270461,,P=16,28.879748,26.630946,25.75025,10.78006,5.325643,1.168432,1.230484,1.320435,1.349479
1,2,3.03288,,P=32,16.725566,14.322467,14.326376,14.55789,12.397382,8.891358,1.311868,7.276517,2.519464
2,2,9.42495,,P=64,16.270461,13.589526,13.287896,13.305155,13.224769,5.017229,5.019122,8.086243,9.120304
4,2,21.04122,,,,,,,,,,,
8,2,31.11056,,  p \ q, q=1, q=2, q=4, q=8, q=16, q=32,q=64, q=128,
16,2,26.630946,, p=1,5.7958,3.03288,1.8554,1.53726,1.43384,1.42598,1.37602,1.40502,
32,2,14.322467,, p=2,41.60492,9.42495,2.16174,1.52273,1.5326,1.47396,1.50762,1.52984,
64,2,13.589526,, p=4,36.193245,21.04122,10.69498,1.93716,1.834145,1.78179,1.701505,1.690515,
1,4,1.8554,, p=8,30.530628,31.11056,32.876425,8.968023,3.323615,1.934013,1.98762,1.99421,
2,4,2.16174,,   p=16,28.879748,26.630946,25.75025,10.78006,5.325643,1.168432,1.230484,1.320435,
4,4,10.69498,,   p=32,16.725566,14.322467,14.326376,14.55789,12.397382,8.891358,1.311868,7.276517,
8,4,32.876425,,,,,,,,,,,
16,4,25.75025,,,,,,,,,,,
32,4,14.326376,,,,,,,,,,,
64,4,13.287896,,,,,,,,,,,
1,8,1.53726,,,,,,,,,,,
2,8,1.52273,,,,,,,,,,,
4,8,1.93716,,,,,,,,,,,
8,8,8.968023,,,,,,,,,,,
16,8,10.78006,,,,,,,,,,,
32,8,14.55789,,,,,,,,,,,
64,8,13.305155,,,,,,,,,,,
1,16,1.43384,,,,,,,,,,,
2,16,1.5326,,,,,,,,,,,
4,16,1.834145,,,,,,,,,,,
8,16,3.323615,,,,,,,,,,,
16,16,5.325643,,,,,,,,,,,
32,16,12.397382,,,,,,,,,,,
64,16,13.224769,,,,,,,,,,,
1,32,1.42598,,,,,,,,,,,
2,32,1.47396,,,,,,,,,,,
4,32,1.78179,,,,,,,,,,,
8,32,1.934013,,,,,,,,,,,
16,32,1.168432,,,,,,,,,,,
32,32,8.891358,,,,,,,,,,,
64,32,5.017229,,,,,,,,,,,
1,64,1.37602,,,,,,,,,,,
2,64,1.50762,,,,,,,,,,,
4,64,1.701505,,,,,,,,,,,
8,64,1.98762,,,,,,,,,,,
16,64,1.230484,,,,,,,,,,,
32,64,1.311868,,,,,,,,,,,
64,64,5.019122,,,,,,,,,,,
1,128,1.40502,,,,,,,,,,,
2,128,1.52984,,,,,,,,,,,
4,128,1.690515,,,,,,,,,,,
8,128,1.99421,,,,,,,,,,,
16,128,1.320435,,,,,,,,,,,
32,128,7.276517,,,,,,,,,,,
64,128,8.086243,,,,,,,,,,,
1,256,1.39076,,,,,,,,,,,
2,256,1.51872,,,,,,,,,,,
4,256,1.71351,,,,,,,,,,,
8,256,2.060777,,,,,,,,,,,
16,256,1.349479,,,,,,,,,,,
32,256,2.519464,,,,,,,,,,,
64,256,9.120304,,,,,,,,,,,
