1,1,7.894,,,,,,,,,,,,,,,,,,,,,,,
1,2,6.346,,,,QUE10,,,,,,,,,,,,,,,,,,,
1,4,2.452,,,,,,,,,,,,,,,,,,,,,,,
1,8,1.916,,,,,,,,,,,,,,,,,,,,,,,
1,16,1.743,,,,,1st quarter MEAN WAITIME, ,,,,,,,,,,,,,,,,,
1,32,1.882,,   p \ q, q=1, q=2, q=4, q=8, q=16, q=32,q=64, q=128,Q=256,,,,,,,,,,,,
1,64,1.705,, p=1,5.351,6.557,2.708,2.203,1.974,2.065,1.715,2.076,2.159,,,,,,,,,,,,
1,128,1.789,, p=2,39.345,15.419,4.982,2.46,2.14,2.028,2.087,1.897,2.182,,,,,,,,,,,,
1,256,1.923,, p=4,45.917,39.122,28.29,3.521,2.902,2.674,2.598,3.231,3.478,,,,,,,,,,,,
2,1,38.514,, p=8,39.387,44.187,46.494,33.966,3.25,4.581,4.405,4.064,3.73,,,,,,,,,,,,
2,2,14.396,,   p=16,36.937,40.15,41.402,44.62,17.197,3.517,4.32,4.102,4.636,,,,,,,,,,,,
2,4,4.376,,   p=32,34.051,39.17,41.182,44.764,29.709,24.578,6.095,6.199,6.803,,,,,,,,,,,,
2,8,2.159,,   p=64,34.449,33.962,37.406,44.662,37.654,30.541,20.767,8.154,15.501,,,,,,,,,,,,
2,16,2.057,,,,,,,,,,,,,,,,,,,,,,,
2,32,1.844,,,,,2nd quarter MEAN WAITIME,,,,,,,,,,,,,,,,,,
2,64,1.94,,   p \ q, q=1, q=2, q=4, q=8, q=16, q=32,q=64, q=128,Q=256,,,,,,,,,,,,
2,128,1.863,, p=1,7.023,6.796,2.686,2.045,1.864,2.008,1.764,1.924,2.076,,,,,,,,,,,,
2,256,1.941,, p=2,42.938,14.22,4.383,2.334,2.255,2,2.08,1.92,2.183,,,,,,,,,,,,
4,1,38.902,, p=4,42.182,35.588,26.687,4.299,2.703,2.585,2.793,2.945,3.145,,,,,,,,,,,,
4,2,32.923,, p=8,37.247,40.759,43.611,32.04,4.515,3.85,4.234,3.882,3.619,,,,,,,,,,,,
4,4,25.151,,   p=16,36.166,39.637,40.653,41.551,20.19,3.463,4.158,4.197,4.449,,,,,,,,,,,,
4,8,5.07,,   p=32,33.858,38.299,39.047,42.026,34.639,26.618,9.019,7.713,6.462,,,,,,,,,,,,
4,16,2.675,,   p=64,34.087,35.58,38.283,41.203,37.953,27.836,21.078,11.501,14.262,,,,,,,,,,,,
4,32,2.574,,,,,,,,,,,,,,,,,,,,,,,
4,64,2.671,,,,,3rd  quarter MEAN WAITIME,,,,,,,,,abs(3rd-mean),,,,,,,,,
4,128,2.716,,   p \ q, q=1, q=2, q=4, q=8, q=16, q=32,q=64, q=128,Q=256,,,   p \ q, q=1, q=2, q=4, q=8, q=16, q=32,q=64, q=128,Q=256
4,256,2.764,, p=1,7.644,6.693,2.504,1.995,1.816,1.95,1.748,1.902,2.009,,, p=1,0.262,0.343,0.005,0.022,0.017,0.007,0.023,0.054,0.026
8,1,36.647,, p=2,41.32,14.352,4.584,2.268,2.159,1.936,2.066,1.95,2.052,,, p=2,2.805,0.047,0.183,0.061,0.053,0.037,0.066,0.03,0.053
8,2,39.232,, p=4,40.116,34.501,25.681,4.663,2.76,2.585,2.773,2.846,2.964,,, p=4,1.214,1.578,0.523,0.441,0.045,0.037,0.05,0.078,0.148
8,4,41.224,, p=8,36.847,40.025,42.107,32.263,5.9,3.899,3.863,3.739,3.748,,, p=8,0.2,0.793,0.882,1.583,0.003,0.212,0.147,0.092,0.105
8,8,30.671,,   p=16,35.396,39.851,40.063,40.768,22.438,3.383,4.51,4.448,4.537,,,   p=16,0.33,0.402,0.059,1.347,0.819,0.056,0.127,0.022,0.011
8,16,5.862,,   p=32,34.083,38.646,39.104,42.338,37.141,26.508,7.062,6.848,5.722,,,   p=32,0.264,0.341,1.381,0.078,0.411,4.994,0.065,0.962,0.151
8,32,3.641,,   p=64,34.04,33.626,37.689,42.127,37.654,27.429,20.998,12.156,14.014,,,   p=64,0.08,0.703,0.9,0.512,0.431,0.546,0.197,1.183,0.429
8,64,3.666,,,,,,,,,,,,,,,,,,,,,,,
8,128,3.596,,,,,MEAN WAITIME,,,,,,,,,,,,,,,,,,
8,256,3.592,,   p \ q, q=1, q=2, q=4, q=8, q=16, q=32,q=64, q=128,Q=256,,,,,,,,,,,,
16,1,35.066,, p=1,7.907,6.35,2.498,1.973,1.799,1.943,1.771,1.848,1.983,,,,,,,,,,,,
16,2,39.449,, p=2,38.515,14.399,4.401,2.206,2.107,1.899,2,1.92,1.999,,,,,,,,,,,,
16,4,40.005,, p=4,38.902,32.924,25.158,5.104,2.715,2.621,2.723,2.768,2.816,,,,,,,,,,,,
16,8,39.419,, p=8,36.647,39.232,41.225,30.68,5.897,3.688,3.715,3.647,3.643,,,,,,,,,,,,
16,16,21.604,,   p=16,35.066,39.449,40.005,39.42,21.619,3.326,4.382,4.426,4.526,,,,,,,,,,,,
16,32,3.284,,   p=32,34.347,38.305,37.723,42.26,37.552,21.514,7.128,5.886,5.872,,,,,,,,,,,,
16,64,4.334,,   p=64,33.96,32.923,36.79,41.615,37.223,26.883,21.195,13.339,13.585,,,,,,,,,,,,
16,128,4.376,,,,,,,,,,,,,,,,,,,,,,,
16,256,4.475,,,,,,,,,,,,,,,,,,,,,,,
32,1,34.347,,,,,,,,,,,,,,,,,,,,,,,
32,2,38.305,,,,,,,,,,,,,,,,,,,,,,,
32,4,37.723,,,,,STD,,,,,,,,,,,,,,,,,,
32,8,42.26,,   p \ q, q=1, q=2, q=4, q=8, q=16, q=32,q=64, q=128,Q=256,,,,,,,,,,,,
32,16,37.551,, p=1,8.64,6.565,7.963,4.266,1.952,2.918,1.354,1.407,3.181,,,,,,,,,,,,
32,32,21.503,, p=2,21.177,15.392,5.987,13.042,12.241,1.426,10.028,4.71,9.91,,,,,,,,,,,,
32,64,7.09,, p=4,69.074,39.517,43.018,31.541,14.811,12.655,20.905,20.73,24.211,,,,,,,,,,,,
32,128,5.842,, p=8,59.862,69.675,84.851,58.086,18.558,41.877,38.41,35.512,36.118,,,,,,,,,,,,
32,256,5.822,,   p=16,66.097,106.547,102.671,109.36,57.675,25.144,51.558,50.392,53.813,,,,,,,,,,,,
64,1,33.96,,   p=32,61.972,123.786,114.908,141.734,128.617,33.898,21.26,49.964,68.938,,,,,,,,,,,,
64,2,32.923,,   p=64,61.037,88.535,125.789,156.498,124.545,37.774,26.458,25.569,35.214,,,,,,,,,,,,
64,4,36.79,,,,,,,,,,,,,,,,,,,,,,,
64,8,41.615,,,,,,,,,,,,,,,,,,,,,,,
64,16,37.223,,,,,,,,,,,,,,,,,,,,,,,
64,32,26.88,,,,,,,,,,,,,,,,,,,,,,,
64,64,21.186,,,,,,,,,,,,,,,,,,,,,,,
64,128,13.312,,,,,,,,,,,,,,,,,,,,,,,
64,256,13.558,,,,,,,,,,,,,,,,,,,,,,,
